Customer_ID,Name,Age,Gender,City,Membership_Type,Total_Spent
1000,Nathalie Renaud,44.0,Male,,Standard,63585.13
1001,Margaud Delaunay,32.0,Female,Legendre,VIP,49099.86
1002,Édouard Rivière,46.0,Female,Saint Inès-les-Bains,Premium,76439.97
1003,Frédéric Hervé-Mendès,74.0,Female,Saint Émile,Standard,37054.85
1004,Luc Meyer,,Male,Boulanger,Standard,99017.37
1005,Richard Besson,46.0,Male,Ramos-les-Bains,Premium,51689.8
1006,Noël-Gilles Schmitt,41.0,Male,Sainte Laurent,Premium,91861.15
1007,Colette Benoit,,Male,Saint Julienec,VIP,58650.89
1008,Charlotte Dias de la Morel,78.0,Female,Lacombe-sur-Mer,VIP,72771.42
1009,Marie Hebert,26.0,Female,Renarddan,VIP,18202.01
1010,Honoré-Benoît Hamon,68.0,Male,,Premium,59690.2
1011,Madeleine Roussel de la Baron,43.0,Female,Gomez,Premium,29427.82
1012,Astrid Charles,39.0,Female,Pierre-sur-Mer,Standard,93777.95
1013,Claude Leconte,32.0,Male,Petitjean,Standard,18648.81
1014,Marc-Martin Charles,73.0,Male,Pinto,Standard,17487.01
1015,Honoré Martins,68.0,Female,Picarddan,Standard,88633.62
1016,Aurore Legendre-Royer,79.0,Male,,Standard,17955.84
1017,Aimée Mathieu,29.0,Male,Barthelemy-sur-Guilbert,VIP,14805.36
1018,Pierre Legrand,20.0,Female,Lévêque-sur-Da Silva,VIP,39374.53
1019,Noël Diallo-Weber,78.0,Male,Jacques,Standard,93721.41
1020,Bernard Nguyen,22.0,Female,Salmonboeuf,Premium,68542.0
1021,Stéphane Traore,35.0,Male,Fouquet-sur-Mer,Premium,28829.37
1022,Danielle Rodriguez-Leconte,73.0,Female,Rousseau,Standard,96784.79
1023,Gérard Bourgeois,,Female,Morvan-sur-Mer,Standard,52273.34
1024,Timothée Cohen,67.0,Female,Guillot,VIP,61030.32
1025,Louis Morin Le Fernandez,33.0,Male,Colin-les-Bains,Standard,37865.59
1026,Grégoire Olivier,23.0,Male,Goncalves,Premium,29518.39
1027,Vincent Dos Santos,23.0,Male,Voisin,Premium,34564.67
1028,Élise Guyon,22.0,Male,Valentin-sur-Mer,Premium,68998.33
