Employee_Name,Department,Years_Experience,Salary
Grégoire Dupuis,Service,4,24015.54
Isaac Maillard,Service,8,35922.54
Benjamin-Michel Carpentier,Sales,18,80593.71
Joseph Didier,Management,14,87888.0
Aimé Leleu Le Guillou,Service,17,67975.14
Astrid Roger,Service,16,42751.61
Sébastien Lejeune de la Ribeiro,Management,7,117511.07
Geneviève Thierry,Management,6,115166.45
Alex Mendès,Sales,12,50911.32
Catherine de Gérard,Sales,14,27878.14
Élise Navarro,Management,3,53483.56
William Mathieu-Legendre,Sales,6,118192.47
Valentine Chauvet,Sales,21,78901.64
Jean Durand,Service,12,93647.69
Édouard Alexandre,Service,17,47331.85
Josette Rodrigues,Sales,18,94855.22
Vincent Potier,Service,12,58540.16
Odette Bousquet,Service,25,92747.0
Matthieu Brun-Auger,Sales,26,76914.47
Sébastien Clément Le Duval,Service,14,111930.5
Pierre Bernier-Bodin,Service,22,72699.1
Antoine Guillet,Sales,11,92660.39
Bernard Lesage,Management,3,117597.9
Véronique de Neveu,Sales,3,87246.38
Susan Perez,Sales,27,25337.57
Corinne Joseph,Management,18,102021.8
Alex Renard de la Lecoq,Service,6,102791.98
Xavier Blanchet-Étienne,Management,15,25610.46
Richard Rousseau,Sales,1,70233.63
Dorothée Becker,Sales,28,48151.8
Marie de la Perrier,Service,6,84892.5
Lucie Moreau,Management,4,59620.63
Maurice Valette,Management,17,99972.92
Rémy Guillet,Sales,8,92128.17
Isabelle Le Gall,Sales,3,113378.62
François du Lefort,Service,14,80611.29
Matthieu Chrétien,Management,6,63100.49
Marguerite Roche,Management,26,107494.8
Geneviève de la Lemoine,Sales,13,57108.43
Timothée Humbert,Service,26,84754.02
Jacqueline Gillet de la Imbert,Sales,27,57821.26
Alfred Dupuy,Management,16,87761.98
Patrick Charpentier-Clément,Service,20,102372.37
Paulette-Constance Collin,Management,13,88511.8
Arnaude-Paulette Hebert,Sales,15,26066.08
Christelle Michel,Management,30,52836.83
Jules Denis,Service,25,37378.44
Étienne Renard,Management,8,38064.24
André Renault,Management,3,111752.35
Adélaïde Sauvage,Service,23,75717.38
Guy du Devaux,Sales,17,55689.04
Caroline Lacombe,Sales,1,51312.11
Julien Le Denis,Service,8,51290.41
Joseph-Théophile Rousset,Management,4,59919.07
David Barre-Joly,Sales,27,96726.69
Noël Berthelot,Management,1,66114.88
Marc Pineau,Sales,11,96368.88
Léon Carlier-Delaunay,Management,10,40062.14
Adrien du Lenoir,Sales,15,91403.78
Grégoire Ferrand,Management,19,68214.79
Corinne Lemaire,Management,20,118743.74
Amélie-Paulette Mendès,Sales,25,99077.54
Raymond Reynaud,Service,11,64710.26
Dominique Berger,Service,30,102632.73
Jean François,Service,23,83096.83
Eugène Thomas,Service,2,62012.52
Maryse Le Tanguy,Sales,4,63453.18
Tristan Robin,Management,8,118024.99
Franck Guillou,Sales,7,100874.1
Élisabeth Pelletier,Service,7,114974.24
Camille Aubert-Laroche,Management,28,32597.95
Adrien Morvan,Service,10,83651.87
Rémy Perrot,Sales,24,92734.66
Rémy Paul,Sales,7,38098.69
Éléonore Martins,Sales,12,33712.19
Thibaut Courtois de Vasseur,Management,21,33718.58
Suzanne Legendre du Leblanc,Management,9,73336.36
Thibaut Martins,Service,11,119547.57
Susanne Guillot-Poulain,Sales,27,44257.15
Guy du Guillot,Sales,23,43230.48
Caroline Nguyen,Management,12,117180.72
Laurence Riou,Service,13,45643.35
Gilles Rossi,Management,1,33025.01
Jeanne Hoareau,Sales,6,50985.23
Zoé Lévêque,Service,26,116898.41
Joséphine Clerc-Dupuis,Sales,18,62740.63
Brigitte Navarro,Sales,24,103395.35
Jacques Lefèvre-Dumont,Sales,11,38515.72
Brigitte Dias,Management,30,55133.23
Sabine Bertrand,Service,9,117739.0
Éléonore du Delorme,Service,30,26160.32
Thomas Dupré-Mercier,Sales,25,58107.81
Bertrand Goncalves,Management,2,22775.4
Marc Verdier de la Fleury,Sales,13,114994.54
Véronique Launay,Sales,11,83136.47
Nicole Andre de la Guillon,Management,10,85875.16
Gilles Maillot,Management,24,84911.88
Alexandrie Leblanc-Ledoux,Management,9,67849.48
Grégoire Gomes,Sales,19,86390.95
Martine-Alix Lopez,Management,6,99347.93
André Alexandre,Sales,18,47643.2
Nathalie Gosselin,Sales,22,29308.25
Françoise Pages,Management,29,75909.71
Susan Toussaint,Sales,13,55477.35
Auguste Barthelemy de la Cordier,Service,9,80527.12
Margot Gonzalez,Management,16,93258.35
Anaïs Roger de Munoz,Service,11,72817.02
Christelle Rossi,Management,3,52981.71
Alphonse Le Alves,Management,7,113619.63
Rémy Weiss,Management,12,89580.89
Léon Dijoux,Sales,15,83423.44
Dorothée de la Dupuis,Management,27,89150.05
Victor Girard du Rousseau,Management,2,103224.27
Agathe François,Management,17,112132.8
